Компания;Страна;Город;Тип;Релевантность SGT-400;Сайт;Email;Телефон;Контакт;Дов.;Подтверждение
江苏永瀚特种合金技术股份有限公司 (Jiangsu Yonghan Special Alloy Technology Co., Ltd.);Китай;Уси (Wuxi), пров. Цзянсу — 无锡市滨湖区胡埭镇刘闾路11号;литейка (прецизионное литьё горячего тракта);Профильный производитель равноосных, направленно-кристаллизованных (DS) и монокристаллических (SX) турбинных лопаток и ДРУГИХ ГОРЯЧИХ ДЕТАЛЕЙ из никелевых и кобальтовых жаропрочных сплавов для авиадвигателей и ГТУ. С 2022 г. строит в Уси производство «крупных прецизионно-литых лопаток тяжёлых ГТУ» (инвестиции 408 млн юаней, 26 000 шт./год). Заявлены собственные вакуумные печи равноосного литья 250 кг и DS/SX-печи 120 кг — крупнейшие в КНР, плюс первый в Китае прибор Лауэ для контроля монокристалла. Релевантны как поставщик сопловых аппаратов (NGV) и рабочих лопаток для линейки SGT-100/200/300/400 (Typhoon/Tornado/Cyclone) при реверс-инжиниринге.;не найдено (публичный корпоративный сайт не обнаружен);;;曹荣 (Цао Жун, законный представитель);high;Baidu Baike и портал района Биньху г. Уси (wxbh.gov.cn, карточка проекта от 20.10.2022): «专注于航空发动机、燃气轮机用等轴、定向、单晶高温合金涡轮叶片及热端部件的研制和生产» — специализация на равноосных/DS/SX лопатках и ГОРЯЧИХ ДЕТАЛЯХ для ГТУ. Там же: проект «重型燃气轮机大型透平精铸叶片产业化建设项目», 4,08 млрд юаней... (4.08亿元), мощность 2,6 млн... (2.6万件/год). Экспортирует продукцию зарубежным заказчикам, включая GE Energy (США) и Ansaldo (Италия) — прямое подтверждение допуска к западным ГТУ. Рег. номер 91320211583752801U, основана 14.10.2011.
ADN Global (ADN Limited Şirketi);Турция;"Измир (Bayraklı); офисы Баку, София, Дубай";трейдер ЗИП ГТУ / поставщик под проекты;"В разделе «Gas Turbines Spare Parts» прямо указаны Siemens Energy SGT-400 (12,9 МВт), SGT-300 (7,9–9,1 МВт) и SGT-500 (быв. GT35); заявлены поставки лопаток и роторных компонентов («enhancements to blades as well as rotors») с экспортом в 20 стран, референсы SOCAR, Çalık Holding. Удобен как региональный канал (Турция/Азербайджан/ОАЭ) под SGT-400, включая рынок б/у и восстановленного ЗИП.";https://www.adn-global.com;"info@adn-global.com; Дубай: sales@tradeglobal.ea";"+90 232 400 15 15; Баку +994 50 572 44 94; Дубай +971 54 237 3138";;med;"Страница adn-global.com/en/services/gas-turbines-spare-parts/ — перечень поддерживаемых моделей Siemens Energy SGT-400 12.9 MW, SGT-300, SGT-500 (GT35), упоминание работ по лопаткам и роторам. Контакты со страницы /en/contact/: Adalet Mh. Manas Blv. Folkart Towers B Kule No: 39/2702, Bayraklı, İZMİR; доп. офисы: Caspian Sport Plaza (Баку), Alabin 31 (София), The Offices 3 – One Central, DWTC (Дубай)."
EMC — Egyptian Maintenance Company (for Petroleum Services);Египет;Каир (New Cairo);независимый сервис MRO / подрядчик по обслуживанию;"Крупнейший египетский независимый подрядчик по обслуживанию нефтегазового и энергетического оборудования (осн. 1997): сервис турбин и вращающегося оборудования, газовые компрессоры, ремонтные мастерские, onshore/offshore. Практический опыт именно по турбинам Siemens Energy: выиграли в международном тендере 10-летний контракт (~46 млн €/53,3 млн $) на долгосрочное обслуживание двух газовых турбин Siemens Energy 110 МВт на ТЭЦ Arab Potash Company в Иордании. Реальный кандидат на региональную кооперацию и на выход к египетскому/иорданскому парку SGT; ремонт горячей части конкретно по SGT-400 не подтверждён.";https://www.emceg.com/;business.development@emceg.com;+20 2 2618 9999;"Mohsen Kotb (CEO & Managing Director); Wagih El-Gishy (Chairman & CEO)";med;Профиль на emceg.com и в отраслевых каталогах: «Turn-Key Engineered Solutions for Oil & Gas Sector, Petrochemicals, Power Generation and Infrastructure», в перечне услуг — «turbines & rotating equipment service (including gas turbine maintenance)», «maintenance workshop services». Публикации Zawya и Egypt Oil & Gas: контракт на 46 млн € / 53,3 млн $ на 10 лет по обслуживанию «two Siemens Energy natural gas turbine units, 110 MW» на станции Arab Potash Company (Иордания), выигран в международном тендере. Адрес: Plot 20, El Tesaeen St., 5th Compound, New Cairo, Cairo. Прямых упоминаний SGT-400, камер сгорания или DLE-горелок нет.
Especialistas en Turbopartes S.A. de C.V. (ETU);Мексика;Керетаро (Fracc. Ind. San Pedrito Peñuelas I);завод турбозапчастей / покрытия / реверс-инжиниринг;Специализированный производитель и восстановитель деталей турбомашин ('Especialistas en Turbopartes'): 'diseño, fabricación y rehabilitación de componentes' для центробежных компрессоров и турбин, нанесение покрытий (recubrimientos), реверс-инжиниринг, изготовление деталей, полный overhaul, динамическая балансировка, полевой сервис (демонтаж/сборка/центровка/виброанализ). 33+ года на рынке электромеханических работ для энергетики. Основные заказчики — подразделения PEMEX (Refinación, PEP, PGPB, PPQ), то есть тот же парк, где эксплуатируются SGT-100/200/300/400 в Мексике. Профиль смещён к компрессорам и паровым турбинам — по горячей части ГТУ нужно уточнение.;https://www.etu.mx/;не найдено (форма обратной связи на сайте);+52 442 220 6895;;med;"Сайт etu.mx, раздел Turbomaquinaria: 'diseño, fabricación y rehabilitación de componentes para compresores centrífugos, así como turbinas de vapor'; в перечне — reparación y rehabilitación, balanceo dinámico, recubrimientos, fabricación de partes, overhaul integral, ingeniería inversa, servicios de campo. Адрес с сайта: 'Cuauhtémoc No. 3, Fracc Ind. San Pedrito Peñuelas I, Querétaro 76148', тел. +52 (442) 220 6895. Клиенты — PEMEX Refinación / PEP / PGPB / PPQ. Модели ГТУ и SGT не заявлены → med."
FOQ Inventory (Free Oilfield Quote);США;не найдено (телефон 844-475-2060, США);маркетплейс surplus/б-у нефтегазового и энергетического оборудования;"Площадка излишков с конкретными лотами SGT-400: «SGT-400 Industrial Gas Turbine with Power Generation» — 2013 г.в., ~11 000 моточасов, s/n MW311, biogas single fuel, цена 3 353 400 USD, оборудование физически в Китае, с отчётом об осмотре (нет коррозии/течей, требуется чистка компрессора); отдельная карточка «SGT-400S 50Hz gas turbine for sale». Реальный источник донорских агрегатов SGT-400 под разбор на горячую часть.";https://inventory.freeoilfieldquote.com;не найдено (адрес скрыт защитой Cloudflare email-protection);+1 844-475-2060;;med;Карточка inventory.freeoilfieldquote.com/product/sgt-400-industrial-gas-turbine-with-power-generation: code 93774516, Siemens SGT-400, 2013, «approximately 11,000 hours», s/n MW311, $3,353,400, «In Stock», продажа «AS-IS WITH NO WARRANTY». Страница /pages/about-us: маркетплейс surplus и б/у нефтепромыслового и энергетического оборудования, телефон 844-475-2060.
Gas Turbine Resources S.L. (GTR);Испания / Великобритания;"Avinyonet del Penedès (Барселона); Saxilby, Lincoln (UK)";независимый сервис MRO + трейдер б-у/восстановленного ЗИП, аренда обменных двигателей, ликвидация выводимых установок;Специализация прямо по линейке: «Specializing in Gas Turbine Engine, SGT200, TB5000/5400». Есть Gas Turbine Lease Engine Fleet — «engine models supported are Siemens / Ruston TB5000/TB5400/SGT100 RM Typhoon and SGT200 RT Tornado engines». Отдельные направления: Hot Section Component Repair (ремонт горячей части), Application of Sacrificial and Protective Coatings (покрытия), Gas Turbine Rotor Overhaul, Decommissioning and Management of Surplus Plant. В продаже — Gas Generator Rotor Assembly под Siemens/Ruston TB5000 или TB5400 с новыми OEM-лопатками 3-й ступени. Британский офис — в Saxilby под Линкольном, т.е. в исторической зоне Ruston/SGT-400.;https://gasturbineresources.com;sales@gasturbineresources.com;"+34 931 352 544; +34 620 194 730; UK +44 7743 885 068";;high;"Главная gasturbineresources.com: описание «Specializing in Gas Turbine Engine, SGT200, TB5000/5400... new or refurbished spares, turbine overhaul, turbine leasing»; карточка товара «Gas Generator Rotor Assembly to suit Siemens/Ruston TB5000 or TB5400... current variant new OEM supply Stage 3 blades», отметка «SACRIFICIAL COATING NEAR TERM AVAILABILITY FROM STOCK». Разделы /page/Hot Section Component Repair, /page/Gas Turbine Lease Engine Fleet, /page/Decommissioning and Management of Surplus Plant. Адреса: Carrer Llevant 42, Pol. La Carrerada, Avinyonet del Penedes 08793 (Barcelona) и Unit 1 Stirlin Court, Saxilby Enterprise Park, LN1 2LR."
Grupo ATM / Andina Turbomecánica (ATM Gas Natural S.A.S., Andina Turbomecánica SpA);Колумбия (+ Чили);"Богота (ATM Gas Natural); чилийское юрлицо Andina Turbomecánica SpA";трейдер запчастей + независимый сервис MRO / O&M;Поставка запчастей и сервис для газовых турбин: основная специализация — GE FR3/FR5/FR6/FR9, PGT5, PGT10 в открытом и комбинированном цикле, но на сайте прямо указано, что те же услуги и запчасти предоставляются и для машин 'GE, Siemens, PWPS, industriales Solar o aeroderivadas'. Также O&M электростанций, бороскопические инспекции, ремонт роторов и валов, КИПиА (GE Mark II/IV/V/VI), долгосрочные контракты обслуживания. Основаны в 2010 г., 70+ клиентов, 150+ проектов по Латинской Америке. Ruston / SGT-400 явно не упомянуты — вероятно, канал закупки/логистики, а не изготовитель горячей части.;https://www.andinatm.com/;info@australtm.com;;;low;"Сайт andinatm.com, раздел 'Servicios y Repuestos para turbinas de gas': специализация на 'GE FR3, FR5, FR6, FR9, PGT5 y PGT10', плюс формулировка о предоставлении тех же услуг и запчастей для 'GE, Siemens, PWPS, industriales Solar o aeroderivadas'; отдельные разделы по O&M электростанций, бороскопии, КИПиА (GE Mark 2/4/5/6). Единственный опубликованный контакт — info@australtm.com; адрес, телефон и контактное лицо на сайте отсутствуют, поэтому помечены как не найдено. Отсутствие Ruston/SGT в списке моделей → low."
Hitemco (Lincotek Surface Solutions US);США;Old Bethpage, NY;покрытия — независимый цех покрытий по кооперации;Американская площадка группы Lincotek с отдельным брендом и собственным сбытом. Заявлены 'Thermal Spray and Diffusion Coatings': HVOF, плазменное напыление, диффузионные покрытия (алитирование) и финишное шлифование после напыления. Полезен как вторая (американская) точка нанесения покрытий для той же группы, что и Turbocoating/Lincotek в Парме — можно запрашивать параллельно и сравнивать сроки/цену. Фокус по логотипам заказчиков скорее авиационный (Boeing, GE, Pratt & Whitney, Rolls-Royce), принадлежность к промышленным ГТУ нужно уточнять запросом.;https://www.hitemco.com/;sales@hitemco.com;+1 516 752 7882;;med;"Сайт заявляет 'Thermal Spray and Diffusion Coatings' с перечнем HVOF, Plasma, Diffusion, Grinding. Контакты: 160 Bethpage-Sweet Hollow Rd, Old Bethpage, NY 11804; тел. 516-752-7882 (8-5pm EST); e-mail sales@hitemco.com. Принадлежность к Lincotek подтверждена на странице https://www.lincotek.com/group/contacts/: 'Hitemco | New York, U.S. — 160 Bethpage-Sweet Hollow Rd, Old Bethpage, NY 11804, +1 516-752-7882'. Оговорка: конкретно TBC и MCrAlY на открытых страницах не названы."
International Energy Resources FZCO (IER);ОАЭ;Дубай (Jebel Ali Free Zone);независимый поставщик ЗИП / брокер б-у / MRO;Независимый aftermarket-поставщик запчастей, core engines и модулей ГТУ. Прямо заявлена специализация по light industrial и aeroderivative ГТУ производителей Ruston, European Gas Turbines (EGT), Alstom, Siemens, Rolls-Royce, GEC — то есть ровно родословная SGT-400 (Ruston/EGT/Alstom Cyclone). Заявлены модельные ряды «TA, TB, SGT, AGT & LM». Поставляют крупные сборки (роторы, скиды, вспомогательное оборудование), делают инспекцию ЗИП ГТУ и верификацию поставщиков. Резидент JAFZA с 2002 г. — удобен как free-zone канал.;https://ierfzco.com/;sales@ierfzco.com;+971 4 883 0770;"Larry Howie (указан на странице контактов ссылкой на LinkedIn; должность не указана)";high;На ierfzco.com/energy/light-industrial-aero-derivative/ указано: «light industrial and aero derivative gas turbines for such OEM's as Ruston, European Gas Turbines (EGT), Alstom, Siemens, Rolls Royce, Solar Cat, Allison and GEC». В профиле компании: «GE Heavy Industrial ... together with Light industrial and Aero Derivative Gas Turbines from Siemens, Rolls Royce, EGT, Ruston & GE Turbine models including TA, TB, SGT, AGT, & LM ranges». Адрес: Plot M0771, Building No 31, Road N200, Street N204, PO Box 61460, Jebel Ali Free Zone, Dubai. Факс +971 4 883 0771.
ReflowX;ОАЭ;Дубай (Dubai Production City);онлайн-площадка surplus/б-у оборудования энергетики;"Маркетплейс излишков и нового оборудования энергетического сектора: газовые турбины, генераторы, котлы, трубная продукция, арматура. В листингах присутствуют турбины Siemens SGT (в момент проверки — SGT-500 и SGT5-4000F). Канал для выхода на surplus-лоты Ближнего Востока и на владельцев выводимых пакетов SGT-линейки; SGT-400 конкретно на момент проверки не отображался.";https://www.reflowx.com;info@reflowx.com;"+971 50 955 8356 (WhatsApp); +971 50 384 6311";;med;Главная reflowx.com: «the leading marketplace for surplus and new energy sector equipment», категории Power Generation (gas turbines, generators, boilers), явно упомянуты Siemens SGT-500 и SGT5-4000F. Адрес на сайте: Unit 101, Makateb 2 Bldg, Dubai Production City, UAE. Упоминаний Ruston/Typhoon/Tornado не найдено.
Resource Management Associates Inc. (RMA) — площадки PowerPlantsOnline.com и UtilityWarehouse.com;США;Clackamas / Портленд, Орегон;брокер б-у электростанций и ГТУ;"Брокер комплектных станций и турбоагрегатов; в перечне предлагаемого оборудования прямо указаны Siemens SGT-600, SGT-400, SGT-300 (рядом с GE 9FA, LM6000, LM2500, Frame 6B, Westinghouse 501D5, Solar Mars/Centaur, RR RB211). Полезен для поиска донорских SGT-400 и станций под вывод/разбор, а также торговли лопатками ГТУ/ПТУ («Power Plant Parts, gas and steam turbine blades»).";https://powerplantsonline.com (каталог станций также на https://www.utilitywarehouse.com/info1/powerplantc.html);"milt@rmaglobal.com; sales@rmaglobal.com; lane@rmaglobal.com";"+1 503-351-9898 (Milt Fyre); +1 503-803-2029 (Lane Kadel)";Milt Fyre, Lane Kadel;high;"Каталог utilitywarehouse.com/info1/powerplantc.html («Complete Power Plants» брокера RMA Inc.) содержит позиции Siemens SGT-600 / SGT-400 / SGT-300; контакты на странице — milt@rmaglobal.com, (503) 351-9898, Lane Kadel 503-803-2029. Сайт powerplantsonline.com подтверждает тех же контактных лиц и профиль «brokerage of used and new power generation equipment... Power Plant Parts, gas and steam turbine blades». Юрлицо: Resource Management Associates Inc., 12042 SE Sunnyside Rd., PMB 399, Clackamas, OR 97015 (rmaglobal.com)."
Salvex Group, Inc.;США;Хьюстон, Техас;глобальная площадка surplus/аукцион, ликвидатор активов;Крупнейшая мировая площадка излишков и активов после вывода/остановки объектов. Через неё реально проходили лоты по SGT-400: лот «Siemens SGT-400 60HZ Gas Turbines and Dual Fuel Driven Generators (3 Units)» — «5 years old and never used», инспекция Siemens 2016, «Engine core 12.9 MW(e) rating at ISO», с системами масла, охлаждения и шумозащитными кожухами. Подходит как канал покупки целых установок и разукомплектованных ядер/ЗИП после ликвидации станций.;https://www.salvex.com;sales@salvex.com;+1 713-229-9000;Victor Arria (трейдер по лоту SGT-400), +1 832-699-0028;high;"Карточка лота salvex.com/listings/listing_detail.cfm/aucid/182970643/ — «Siemens SGT-400 60HZ Gas Turbines and Dual Fuel Driven Generators (3 Units)», «never used», «Engine core 12.9 MW(e) rating at ISO»; статус на момент проверки — «This item is no longer available». Реквизиты площадки на сайте: Salvex Group, Inc., 440 Louisiana Street, Suite 550, Houston, TX 77002, «$5.2B Global Marketplace»."
Serviturbinas SAS;Колумбия;Фунса, Кундинамарка (Km 7 autopista Medellín, Parque Industrial INTERPARK);независимый сервис MRO + покрытия + реверс-инжиниринг;29 лет опыта, сервисный центр по газовым и паровым турбинам. Заявленный набор ровно под задачу: ремонт критических компонентов, СПЕЦИАЛЬНЫЕ ПОКРЫТИЯ (special coatings), реверс-инжиниринг и изготовление деталей, полевой сервис и overhaul. Стратегический партнёр американской Trinity Turbine Technology (20+ лет), сервисное покрытие — Колумбия, Эквадор, Венесуэла и ПЕРУ (то есть закрывает сразу несколько стран сегмента). Сертификации по API 611 / API 612 / API 670. Из моделей на сайте явно упомянуты только ГТУ GE 40 МВт — по SGT-400 требуется прямой запрос.;https://serviturbinas.com/;Luis.henriquez@serviturbinas.com;"+57 601 896 6456; +57 313 278 8467";"Fabián Rivero — генеральный директор; Luis Henríquez (коммерческий контакт)";med;"Сайт serviturbinas.com: услуги — 'reparación de componentes', 'recubrimientos especiales', 'ingeniería inversa y fabricación', 'field service' и overhaul для вращающегося оборудования; '29 años de experiencia'; сертификации API 611, API 612, API 670; альянс с Trinity Turbine Technology (США) и покрытие сервисом Колумбии, Эквадора, Венесуэлы и Перу; коммерческое представительство John Crane по Боготе и Кундинамарке. Адрес и телефоны — со страницы контактов сайта. Конкретно SGT-400 не заявлен → med."
TFS Turbine Field Solutions S.A. de C.V. (TFS Corp);Мексика;"Веракрус (Ciudad Industrial Bruno Pagliai); филиал в Боготе, Колумбия";независимый сервис MRO + собственное производство компонентов + испытательный стенд;Ключевой игрок сегмента. На сайте в перечне обслуживаемых машин прямо указаны Siemens SGT-300 и SGT-400, плюс Solar Saturn 20 / Centaur 40 / Centaur 50 / Taurus 60 и Rolls-Royce Allison 501-KB5S/KB7. Развернули первый в мире независимый испытательный стенд (test cell) для SGT-400 в Веракрусе. Технологическая база под горячую часть: Thermal Spray (HVOF, Arc Spray), Laser Cladding, TIG-сварка, термообработка, гальваника, химическая и ультразвуковая очистка, NDT, метрология, инженерия/реверс-инжиниринг (E+D). Цех 15 000 м² (участок ремонта турбин >2 000 м²). Второй стенд строится под Solar Taurus/Centaur. Работают в Мексике, Колумбии, Перу, США, ОАЭ (Дубай) и Азии.;https://www.tfscorp.com.mx/;comercial@tfscorp.com.mx;"+52 229 989 3793; филиал Колумбия: +57 601 426 2000";"Fernando López García Rivera — CEO; Ramón Cuevas — Sales Manager; Gerardo González — Operation and Installations Manager; David López Forero — Territory Sales Manager";high;"Сайт tfscorp.com.mx, раздел Soluciones→Manufactura: в списке моделей значатся 'Siemens: SGT-300, SGT-400'; там же перечень процессов 'Thermal Spray (HVOF, Arc Spray)', 'Laser Cladding', 'TIG Welding'. Контакты с главной страницы: 'Framboyanes 3303, Colonia Industrial Bruno Pagliai, Veracruz, México C.P. 91697', тел. +52.229.989.3793, comercial@tfscorp.com.mx. Пресса 03.08.2026 (El Heraldo de México, MEXICONOW, Mexico Business News): 'Empresa mexicana TFS instala el primer banco avanzado de pruebas para turbinas SGT-400 en el mundo'; там же — 20+ лет опыта, цех 15 000 м², рынки Колумбия/Перу/США/Дубай/Азия. Юрлицо в Колумбии: 'TFS Turbine Field Solutions Colombia', NIT 9014384303, Carrera 9 #78-31, Bogotá D.C., тел. 601-426-2000, вид деятельности 'Instalación especializada de maquinaria y equipo industrial' (informacolombia.com). ПРИМЕЧАНИЕ: компания есть в стоп-листе как известная — здесь даны НОВЫЕ полные контакты (прямые ФИО, телефон, email, адрес, колумбийское юрлицо)."
TOCALO Co., Ltd. (トーカロ株式会社);Япония / Китай;"Kobe, Chuo-ku (HQ); завод в Guangzhou, Китай";покрытия — крупнейший японский подрядный цех термического напыления;Крупнейший в Японии универсальный подрядчик по термическому напылению, работающий именно как job shop (детали заказчика). Технологический набор полностью закрывает горячую часть ГТУ: атмосферное плазменное напыление (APS) под YSZ-термобарьер, плазменное напыление в разрежении / LPPS-VPS (減圧プラズマ溶射) — именно этот процесс нужен для плотного MCrAlY-подслоя, высокоскоростное газопламенное HVOF (高速フレーム溶射), суспензионное плазменное (SPS), дуговое и газопламенное напыление, а также собственные покрытия CDC-ZAC и мокрые процессы. В разделе энергетики прямо указывают лопатки турбин, работающие в среде высокотемпературной коррозии. Дочерняя площадка в Гуанчжоу (КНР) даёт азиатскую цену при японской системе качества.;https://www.tocalo.co.jp/english/;не найдено (только форма /contact/technical/);"+81 78 303 3433 (HQ Kobe); +86 20 8298 6789 (завод в Гуанчжоу)";;med;"Страница /solution/field-energy/: 'ボイラやタービンブレードのような高温腐食環境下で使用される部材に溶射を適用することで、耐久性が大幅に向上します' (нанесение напыления на детали, работающие в высокотемпературной коррозионной среде, такие как лопатки турбин); отдельный подзаголовок 'タービンブレード'. Список технологий на том же разделе: 大気プラズマ溶射 (APS), 減圧プラズマ溶射 (LPPS/VPS), アーク溶射, 高速フレーム溶射 (HVOF), 粉末式フレーム溶射, 溶線式フレーム溶射, サスペンションプラズマ溶射 (SPS), CDC-ZACコーティング. Компания описывает себя как '溶射を中心とした各種表面改質の総合メーカー'. Адрес HQ (/company/corporate/, /company/list/): 〒650-0047 兵庫県神戸市中央区港島南町6-4-4, TEL 078-303-3433, FAX 078-303-3435. Китайская площадка: 中華人民共和国広東省広州市 ... 禾豊二街9号, TEL 86-20-8298-6789."
"TurboPre Services, C.A. (+ TurboPre Services S. de R.L. de C.V., Мексика; TurboPre Corporation, Панама)";Венесуэла (штаб) / Мексика / Панама;Маракайбо, штат Сулия (штаб);независимый сервис MRO + цеховые работы;"Опыт с 1973 г.; один из основных подрядчиков по ремонту, обслуживанию и специализированной техподдержке ГАЗОВЫХ турбин мощностью до 180 МВт (и паровых до 400 МВт), генераторов и компрессоров для электроэнергетики, нефтехимии, НПЗ и Oil&Gas. Есть направление 'Servicios de taller' (цеховые работы) помимо полевого сервиса. Важно для сегмента: наличие мексиканского юрлица (S. de R.L. de C.V.) даёт легальный вход в мексиканский парк SGT. Конкретные модели (SGT/Ruston/Typhoon) на сайте не перечислены — требуется прямой запрос по SGT-400.";https://turbopreservices.com/;ventas@turbopreservices.com;+58 261 817 0100;;low;Сайт turbopreservices.com, разделы 'Servicios de campo – Turbinas a Gas' и 'Servicios de taller': заявлена траектория 'desde 1973', ремонт и обслуживание газовых турбин до 180 МВт и паровых до 400 МВт, генераторов и компрессоров. Контакты со страницы: 'Avenida 62 Cruce con calle 146 Nº 05 Maracaibo, Edo Zulia Venezuela', ventas@turbopreservices.com, +58 261.817.01.00. Наличие дочерних 'TurboPre Services S de RL de CV' (Мексика) и 'TurboPre Corporation' (Панама) — из корпоративного описания компании. Модели SGT не подтверждены → low/med.
Türbin Bakım San. Ltd. Şti.;Турция;Стамбул (Şişli, Ayazağa);независимый сервис MRO / поставщик ЗИП;Профильный турецкий сервис по ремонту газовых турбин и компрессоров. Инженерная поддержка прямо по Ruston TA и TB — то есть по рустоновскому наследию, из которого выросла линейка SGT (SGT-400 = Ruston/EGT/Alstom Cyclone), а также Solar Saturn, Centaur 40/50, Taurus 60, GEC EAS1/EM85. Держат большой склад ЗИП, представляют Greenray Turbine Solutions по Турции и СНГ (важно: канал в СНГ). По SGT-400 и по горячей части напрямую не заявлены — уточнять запросом.;https://turbinbakim.com/;Bulent@turbinbakim.com;+90 212 283 0600;Bülent;med;"На turbinbakim.com: инженерная поддержка по «Solar Saturn, Centaur 40/50, Taurus 60, Ruston TA and TB, GEC EAS1/EM85»; «represent Greenray Turbine Solutions for power turbine parts and service in Turkey and CIS countries»; заявлены ремонт компонентов и «large inventory of spare parts». Адрес: Ayazağa Mah. 117 Sok. No. 20, Şişli, İstanbul 34396. Моделей Siemens SGT-100/200/300/400 и работ по камере сгорания на сайте нет — отсюда med."
USP&E Global (US Power & Environment);ЮАР / США / ОАЭ;"Sandton–Bryanston (Йоханнесбург); офисы Knoxville, Dubai, Западная Африка";дилер/брокер б-у ГТУ + EPC/O&M подрядчик;Держит инвентарь б/у газовых турбин, где прямо указаны Siemens SGT-300, SGT-400, SGT-600 наряду с GE LM2500/TM2500/Frame 5-9. Есть отдельная карточка «Used Siemens SGT-400 Natural Gas Turbine Generator – 14.4 MW, 2019, 50 Hz, 10500 V». Канал для покупки целого пакета SGT-400 или донорского агрегата под разбор на ЗИП.;https://uspeglobal.com (альт. домен https://newgasturbines.com);"info@uspeglobal.com; общая почта info@uspowerco.com";"+27 10 822 2324; +1 612-803-8112";;high;Страница контактов на их же домене newgasturbines.com/contact-us: «New/Used Gas Turbines Available», адрес Block C, The Main Straight Office Park, 392 Main Rd, Bryanston, Sandton 2191, телефоны +27 10 822 2324 и +1 612-803-8112, info@uspeglobal.com. Инвентарь подтверждён сниппетами их собственных страниц uspeglobal.com/inventory/natural-gas-turbines («plus Siemens SGT-300, SGT-400, SGT-600...») и uspeglobal.com/inventory/used-siemens-sgt-400-natural-gas-turbine-generator-for-sale («14.4 MW, 2019, 50 Hz, 10500V»). ВАЖНО: сам сайт закрыт Cloudflare-проверкой, прямое чтение страниц инвентаря не удалось — контакты брались с их альтернативного домена.
Wuxi Turbine Blade Co., Ltd. (WTB, 无锡透平叶片有限公司);Китай;Wuxi (Уси), пров. Цзянсу;завод (поковки + мехобработка + спецпроцессы, есть литейное производство);"Крупнейший в КНР производитель лопаток энергетических турбин, включая ГТУ; дочерняя компания Shanghai Prime Machinery (Shanghai Electric). Полный цикл «ковка + мехобработка + спецпроцессы»: лопатки, диски, крыльчатки, корпуса для паровых турбин, ГТУ, АЭС и авиадвигателей. Мощность ~50 000 лопаток/год, >80% рынка крупногабаритных лопаток в Китае. Релевантен прежде всего по компрессорным (кованым) лопаткам и дискам линейки SGT; по литой горячей части — уточнять. Конкретных моделей Siemens SGT/Ruston на сайте не заявлено.";https://www.turblade.com;marketing@turblade.com;+86-510-85764673;"не найдено (общий отдел маркетинга; в открытых источниках также yangdd@turblade.com, guh@turblade.com)";high;"Профиль на Made-in-China (шоурум WTB): «mainly produces various kinds of blades for turbine of power station, industrial turbine, gas turbine and large power generator»; оборудование — винтовой пресс 11 200 т и гидровинтовой 4 000 т; материалы: обычные стали, титан, алюминий, суперсплавы, нержавеющая сталь; экспорт в США, Германию, Сингапур, Тайвань. Baidu Baike/Bloomberg: дочерняя компания Shanghai Prime Machinery (2345.HK, Shanghai Electric), основана 15.04.1980, площадка 230 000 м2 в Huishan Economic Development District. Адрес: 1800 Huishan Avenue, Huishan Economical Development District, Wuxi 214174 (также указывается 305 Qingyang Rd — старая площадка). Контакты — из каталогов Kompass/Expocentr/RocketReach, не подтверждены звонком."
Jiangsu Tunan Alloy Co., Ltd. (江苏图南合金股份有限公司, Toland Alloy, SZSE 300855);Китай;Danyang (Даньян), пров. Цзянсу;завод: металлургия суперсплавов (шихтовые/мастер-сплавы, деформируемые) + литейка прецизионных отливок;Одна из немногих компаний КНР с полным циклом: и деформируемые, и литейные жаропрочные сплавы (мастер-сплав + прецизионные отливки). На сайте прямо указано применение отливок «航空、燃气轮机领域» (авиация и ГАЗОВЫЕ ТУРБИНЫ), деформируемых суперсплавов — тоже 燃气轮机. Полезен двояко: как литейщик деталей горячей части и как поставщик шихтового сплава (IN738/IN939-аналоги) для других литеек при локализации. Конкретных деталей SGT-400 не заявляет.;https://www.toland-alloy.com;;;;med;"Официальный сайт toland-alloy.com: «江苏图南合金股份有限公司», адрес «江苏省丹阳市凤林大道9号», индекс 212352, биржевой код 300855; раздел продукции — 铸造高温合金 «主要应用于航空、燃气轮机领域» (литейные суперсплавы применяются в авиации и ГТУ), деформируемые суперсплавы — для ГТУ, авиадвигателей, нефтехимии. Аналитический профиль (Futu/300855): «one of the few enterprises in China that can mass produce wrought superalloys and cast superalloys (master alloys, precision castings) at the same time», основан в 1994 (НИОКР по суперсплавам), серийное производство с 2015. Страница contact.html вернула 404 — телефон/почту не подтвердил."
